id,prenom,nom,sexe,sortante,circonscription,parti,dissidence,lien,twitter
5643,Vincent,Guillermin,homme,,001-01,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7627,Brigitte,Giannotti,femme,,001-01,RN,,https://rassemblementnational.fr/elections-legislatives/,
5645,Alexandre,Nanchi,homme,,001-02,LR,,https://republicains.fr/actualites/2021/11/19/decision-de-la-commission-nationale-dinvestiture/,
5647,Lumir,Lapray,femme,,001-02,EE-LV,,https://www.eelv.fr/files/2022/05/Scenario-Investiture.pdf,https://twitter.com/lumirlapray
5646,Thomas,Iglésis,homme,,001-02,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
5648,Romain,Daubie,homme,,001-02,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7628,Olivier,Eyraud,homme,,001-02,RN,,https://rassemblementnational.fr/elections-legislatives/,
5650,Marine,Morvan Lembert,femme,,001-03,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
5651,Olga,Givernet,femme,,001-03,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
5649,Véronique,Baude,femme,,001-03,LR,,https://republicains.fr/actualites/2021/11/19/decision-de-la-commission-nationale-dinvestiture/,
5652,Christian,Jolie,homme,,001-03,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,
7629,Fréderic,Franck,homme,,001-03,RN,,https://rassemblementnational.fr/elections-legislatives/,
5653,Aurane,Reihanian,homme,,001-04,LR,,https://republicains.fr/actualites/2021/11/19/decision-de-la-commission-nationale-dinvestiture/,
5654,Philippe,Lerda,homme,,001-04,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,
7630,Jérôme,Buisson,homme,,001-04,RN,,https://rassemblementnational.fr/elections-legislatives/,
5655,Florence,Pisani,femme,,001-05,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,
7631,Joëlle,Nambotin Gobbi,femme,,001-05,RN,,https://rassemblementnational.fr/elections-legislatives/,
