dep,nom_dep,code_circo,00,prenom,nom,sexe,code_nuance,nuance,id,prenom,nom,sexe,sortante,circonscription,parti,checked,lien,twitter,
001,Ain,001-01,01,Vincent,GUILLERMIN,homme,ENS,Ensemble ! (Majorité présidentielle),5643,Vincent,Guillermin,homme,,001-01,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,,
001,Ain,001-01,02,Éric,LAHY,homme,DXG,Divers extrême gauche,8438,Éric,Lahy,homme,,001-01,LO,,https://www.lutte-ouvriere.org/legislatives,,
001,Ain,001-01,03,Xavier,BRETON,homme,LR,Les Républicains,8237,Xavier,Breton,homme,checked,001-01,LR/UDI,,https://www.leprogres.fr/elections/2022/04/30/legislatives-reconquete-aura-cinq-candidats-dans-l-ain,,
001,Ain,001-01,04,Brigitte,PIROUX GIANNOTTI,femme,RN,Rassemblement National,7627,Brigitte,Giannotti,femme,,001-01,RN,,https://rassemblementnational.fr/elections-legislatives/,,
001,Ain,001-01,05,Michael,MENDES,homme,DSV,Droite souverainiste,,,,,,,,,,,
001,Ain,001-01,06,Julien,BELLON,homme,REC,Reconquête !,,,,,,,,,,,
001,Ain,001-01,07,Eliane,ARMENJON,femme,ECO,Ecologistes,,,,,,,,,,,
001,Ain,001-01,08,Sébastien,GUÉRAUD,homme,SOC,Parti socialiste,9076,Sébastien,Guéraud,homme,,001-01,PS,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/vague2_investitures_ps_nupes-5e320d6bcf644544b9b438ff8d1ff285.pdf,,
001,Ain,001-02,01,Lumir,LAPRAY,femme,ECO,Ecologistes,5647,Lumir,Lapray,femme,,001-02,EE-LV,,https://www.eelv.fr/files/2022/05/Scenario-Investiture.pdf,https://twitter.com/lumirlapray,
001,Ain,001-02,02,Romain,DAUBIÉ,homme,ENS,Ensemble ! (Majorité présidentielle),5648,Romain,Daubie,homme,,001-02,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,,
001,Ain,001-02,03,Vincent,GOUTAGNY,homme,DXG,Divers extrême gauche,8439,Vincent,Goutagny,homme,,001-02,LO,,https://www.lutte-ouvriere.org/legislatives,,
001,Ain,001-02,04,Denis,BARATAY,homme,DVD,Divers droite,,,,,,,,,,,
001,Ain,001-02,05,Alexandre,NANCHI,homme,LR,Les Républicains,5645,Alexandre,Nanchi,homme,,001-02,LR,,https://republicains.fr/actualites/2021/11/19/decision-de-la-commission-nationale-dinvestiture/,,
001,Ain,001-02,06,Alexandre,COSTA,homme,REC,Reconquête !,,,,,,,,,,,
001,Ain,001-02,07,Colin,MARTET,homme,DIV,Divers,,,,,,,,,,,
001,Ain,001-02,08,Thomas,IGLÉSIS,homme,ECO,Ecologistes,5646,Thomas,Iglésis,homme,,001-02,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,,
001,Ain,001-02,09,Olivier,EYRAUD,homme,RN,Rassemblement National,7628,Olivier,Eyraud,homme,,001-02,RN,,https://rassemblementnational.fr/elections-legislatives/,,
001,Ain,001-02,10,Delphine,CARRIER,femme,DSV,Droite souverainiste,,,,,,,,,,,
001,Ain,001-03,01,Karine,DUBARRY,femme,REC,Reconquête !,,,,,,,,,,,
001,Ain,001-03,02,Thierry,VERGNAS,homme,DSV,Droite souverainiste,,,,,,,,,,,
