dep,nom_dep,code_circo,numero,prenom,nom,sexe,code_nuance,nuance,sortante
001,Ain,001-01,1,Vincent,GUILLERMIN,homme,ENS,Ensemble ! (Majorité présidentielle),false
001,Ain,001-01,2,Éric,LAHY,homme,DXG,Divers extrême gauche,false
001,Ain,001-01,3,Xavier,BRETON,homme,LR,Les Républicains,true
001,Ain,001-01,4,Brigitte,PIROUX GIANNOTTI,femme,RN,Rassemblement National,false
001,Ain,001-01,5,Michael,MENDES,homme,DSV,Droite souverainiste,false
001,Ain,001-01,6,Julien,BELLON,homme,REC,Reconquête !,false
001,Ain,001-01,7,Eliane,ARMENJON,femme,ECO,Ecologistes,false
001,Ain,001-01,8,Sébastien,GUÉRAUD,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
001,Ain,001-02,1,Lumir,LAPRAY,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
001,Ain,001-02,2,Romain,DAUBIÉ,homme,ENS,Ensemble ! (Majorité présidentielle),false
001,Ain,001-02,3,Vincent,GOUTAGNY,homme,DXG,Divers extrême gauche,false
001,Ain,001-02,4,Denis,BARATAY,homme,DVD,Divers droite,false
001,Ain,001-02,5,Alexandre,NANCHI,homme,LR,Les Républicains,false
001,Ain,001-02,6,Alexandre,COSTA,homme,REC,Reconquête !,false
001,Ain,001-02,7,Colin,MARTET,homme,DIV,Divers,false
001,Ain,001-02,8,Thomas,IGLÉSIS,homme,ECO,Ecologistes,false
001,Ain,001-02,9,Olivier,EYRAUD,homme,RN,Rassemblement National,false
001,Ain,001-02,10,Delphine,CARRIER,femme,DSV,Droite souverainiste,false
001,Ain,001-03,1,Karine,DUBARRY,femme,REC,Reconquête !,false
001,Ain,001-03,2,Thierry,VERGNAS,homme,DSV,Droite souverainiste,false
001,Ain,001-03,3,Olga,GIVERNET,femme,ENS,Ensemble ! (Majorité présidentielle),true
001,Ain,001-03,4,Maxence,FERTE,homme,DIV,Divers,false
001,Ain,001-03,5,Frédéric,FRANCK,homme,RN,Rassemblement National,false
001,Ain,001-03,6,Christian,JOLIE,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
001,Ain,001-03,7,Véronique,BAUDE,femme,LR,Les Républicains,false
001,Ain,001-03,8,Jean-Loup,KASTLER,homme,ECO,Ecologistes,false
001,Ain,001-03,9,Fulgence,KOUASSI,homme,DIV,Divers,false
001,Ain,001-03,10,Cécile,MAISONNETTE,femme,DXG,Divers extrême gauche,false
001,Ain,001-03,11,Marine,MORVAN LEMBERT,femme,ECO,Ecologistes,false
001,Ain,001-03,12,Frank,BISETTI,homme,DVC,Divers centre,false
001,Ain,001-04,1,Aurane,REIHANIAN,homme,LR,Les Républicains,false
001,Ain,001-04,2,Alban,DEFRASNE,homme,DVG,Divers gauche,false
001,Ain,001-04,3,Nicolas,FAVRE,homme,ECO,Ecologistes,false
001,Ain,001-04,4,Jérôme,BUISSON,homme,RN,Rassemblement National,false
001,Ain,001-04,5,Sylvain,COUSSON,homme,DXG,Divers extrême gauche,false
001,Ain,001-04,6,Ali,BENMEDJAHED,homme,RDG,Parti radical de gauche,false
001,Ain,001-04,7,Philippe,LERDA,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
001,Ain,001-04,8,Benoît,DE BOYSSON,homme,REC,Reconquête !,false
001,Ain,001-04,9,Sacha,FORCA,homme,DVD,Divers droite,false
001,Ain,001-04,10,Isabelle,SEGUIN,femme,ENS,Ensemble ! (Majorité présidentielle),false
001,Ain,001-04,11,Annick,VEILLEROT,femme,DSV,Droite souverainiste,false
001,Ain,001-04,12,Stéphane,TROMPILLE,homme,DVC,Divers centre,true
001,Ain,001-05,1,Philippe,TOURNIER-BILLON,homme,REC,Reconquête !,false
001,Ain,001-05,2,Grégory,FABRIS,homme,DSV,Droite souverainiste,false
001,Ain,001-05,3,Celil,YILMAZ,homme,DIV,Divers,false
001,Ain,001-05,4,Damien,ABAD,homme,DVD,Divers droite,true
001,Ain,001-05,5,Florence,PISANI,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
001,Ain,001-05,6,Stéphanie,PARIS,femme,DVD,Divers droite,false
001,Ain,001-05,7,Joëlle,NAMBOTIN,femme,RN,Rassemblement National,false
