id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance
1,001-01,1,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle)
2,001-01,2,LAHY,Éric,M.,DXG,Divers extrême gauche
3,001-01,3,BRETON,Xavier,M.,LR,Les Républicains
4,001-01,4,PIROUX GIANNOTTI,Brigitte,Mme,RN,Rassemblement National
5,001-01,5,MENDES,Michael,M.,DSV,Droite souverainiste
6,001-01,6,BELLON,Julien,M.,REC,Reconquête !
7,001-01,7,ARMENJON,Eliane,Mme,ECO,Ecologistes
8,001-01,8,GUÉRAUD,Sébastien,M.,SOC,Parti socialiste
9,001-02,1,LAPRAY,Lumir,Mme,ECO,Ecologistes
10,001-02,2,DAUBIÉ,Romain,M.,ENS,Ensemble ! (Majorité présidentielle)
11,001-02,3,GOUTAGNY,Vincent,M.,DXG,Divers extrême gauche
12,001-02,4,BARATAY,Denis,M.,DVD,Divers droite
13,001-02,5,NANCHI,Alexandre,M.,LR,Les Républicains
14,001-02,6,COSTA,Alexandre,M.,REC,Reconquête !
15,001-02,7,MARTET,Colin,M.,DIV,Divers
16,001-02,8,IGLÉSIS,Thomas,M.,ECO,Ecologistes
17,001-02,9,EYRAUD,Olivier,M.,RN,Rassemblement National
18,001-02,10,CARRIER,Delphine,Mme,DSV,Droite souverainiste
19,001-03,1,DUBARRY,Karine,Mme,REC,Reconquête !
20,001-03,2,VERGNAS,Thierry,M.,DSV,Droite souverainiste
21,001-03,3,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle)
22,001-03,4,FERTE,Maxence,M.,DIV,Divers
23,001-03,5,FRANCK,Frédéric,M.,RN,Rassemblement National
24,001-03,6,JOLIE,Christian,M.,FI,La France Insoumise
25,001-03,7,BAUDE,Véronique,Mme,LR,Les Républicains
26,001-03,8,KASTLER,Jean-Loup,M.,ECO,Ecologistes
27,001-03,9,KOUASSI,Fulgence,M.,DIV,Divers
28,001-03,10,MAISONNETTE,Cécile,Mme,DXG,Divers extrême gauche
29,001-03,11,MORVAN LEMBERT,Marine,Mme,ECO,Ecologistes
30,001-03,12,BISETTI,Frank,M.,DVC,Divers centre
31,001-04,1,REIHANIAN,Aurane,M.,LR,Les Républicains
32,001-04,2,DEFRASNE,Alban,M.,DVG,Divers gauche
33,001-04,3,FAVRE,Nicolas,M.,ECO,Ecologistes
34,001-04,4,BUISSON,Jérôme,M.,RN,Rassemblement National
35,001-04,5,COUSSON,Sylvain,M.,DXG,Divers extrême gauche
36,001-04,6,BENMEDJAHED,Ali,M.,RDG,Parti radical de gauche
37,001-04,7,LERDA,Philippe,M.,FI,La France Insoumise
38,001-04,8,DE BOYSSON,Benoît,M.,REC,Reconquête !
39,001-04,9,FORCA,Sacha,M.,DVD,Divers droite
40,001-04,10,SEGUIN,Isabelle,Mme,ENS,Ensemble ! (Majorité présidentielle)
41,001-04,11,VEILLEROT,Annick,Mme,DSV,Droite souverainiste
42,001-04,12,TROMPILLE,Stéphane,M.,DVC,Divers centre
43,001-05,1,TOURNIER-BILLON,Philippe,M.,REC,Reconquête !
44,001-05,2,FABRIS,Grégory,M.,DSV,Droite souverainiste
45,001-05,3,YILMAZ,Celil,M.,DIV,Divers
46,001-05,4,ABAD,Damien,M.,DVD,Divers droite
47,001-05,5,PISANI,Florence,Mme,FI,La France Insoumise
48,001-05,6,PARIS,Stéphanie,Mme,DVD,Divers droite
49,001-05,7,NAMBOTIN,Joëlle,Mme,RN,Rassemblement National
50,001-05,8,CROZET,Sylvie,Mme,DXG,Divers extrême gauche
51,001-05,9,BOULMÉ,Jean-Michel,M.,DVG,Divers gauche
52,001-05,10,MARTINEZ,Julien,M.,LR,Les Républicains
53,002-01,1,BONO-VANDORME,Aude,Mme,ENS,Ensemble ! (Majorité présidentielle)
54,002-01,2,CAUCHY,Benjamin,M.,REC,Reconquête !
55,002-01,3,PERNELLE,Jean-Loup,M.,DXG,Divers extrême gauche
56,002-01,4,FENIOUX,Olivier,M.,FI,La France Insoumise
57,002-01,5,RIBEIRO,Carole,Mme,DVD,Divers droite
58,002-01,6,DEGOUY,Michel,M.,DSV,Droite souverainiste
59,002-01,7,DRAGON,Nicolas,M.,RN,Rassemblement National
60,002-01,8,MOUGENOT,Paul,M.,LR,Les Républicains
61,002-02,1,RANSQUIN,Sulyvan,M.,FI,La France Insoumise
62,002-02,2,DIVE,Julien,M.,LR,Les Républicains
63,002-02,3,ZANDITÉNAS,Anne,Mme,DXG,Divers extrême gauche
64,002-02,4,PUISSANT,Lola,Mme,RN,Rassemblement National
65,002-02,5,EL OUASDI,Fatima,Mme,ENS,Ensemble ! (Majorité présidentielle)
66,002-02,6,LEPEUPLE,Eric,M.,DIV,Divers
67,002-02,7,BÉCOURT,Corinne,Mme,DVG,Divers gauche
68,002-02,8,AMEWOUI,Cécé,Mme,REC,Reconquête !
69,002-03,1,VOISIN,Laetitia,Mme,DXG,Divers extrême gauche
70,002-03,2,BERNARDEAU,Hervé,M.,REC,Reconquête !
71,002-03,3,HANSEN-CATTA,Paul-Henry,M.,RN,Rassemblement National
72,002-03,4,MOINEUSE,Jérome,M.,LR,Les Républicains
73,002-03,5,CHOTIN,Agnès,Mme,DSV,Droite souverainiste
74,002-03,6,BRICOUT,Jean-Louis,M.,DVG,Divers gauche
75,002-04,1,BEAURAIN,José,M.,RN,Rassemblement National
76,002-04,2,GALL,Aurélien,M.,COM,Parti communiste français
77,002-04,3,BOBIN,David,M.,LR,Les Républicains
78,002-04,4,VICENTE,Vanessa,Mme,REC,Reconquête !
79,002-04,5,BOUILLAGUET,Flora,Mme,DXG,Divers extrême gauche
80,002-04,6,DELATTE,Marc,M.,ENS,Ensemble ! (Majorité présidentielle)
81,002-04,7,CRÉON,Damien,M.,DSV,Droite souverainiste
82,002-05,1,GARCIA,Francis,M.,DXG,Divers extrême gauche
83,002-05,2,EUGÈNE,Sébastien,M.,DVC,Divers centre
84,002-05,3,ROUSSEL,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle)
85,002-05,4,DESSIGNY,Jocelyn,M.,RN,Rassemblement National
86,002-05,5,TRIBOULET,Florence,Mme,REC,Reconquête !
87,002-05,6,VACCA,Françoise,Mme,ECO,Ecologistes
88,002-05,7,FRERE,Stéphane,M.,FI,La France Insoumise
89,002-05,8,BOLLÉE,Joffrey,M.,DSV,Droite souverainiste
90,002-05,9,GILQUIN,Jade,Mme,LR,Les Républicains
91,003-01,1,SENNEPIN,Marion,Mme,ECO,Ecologistes
92,003-01,2,CIBERT,Marie,Mme,RN,Rassemblement National
93,003-01,3,BARBARIN,Michel,M.,ENS,Ensemble ! (Majorité présidentielle)
94,003-01,4,MALLOT,Jean,M.,DVG,Divers gauche
95,003-01,5,COLLOT,Jean-Marc,M.,DXG,Divers extrême gauche
96,003-01,6,DE NICOLAY,Pierre,M.,REC,Reconquête !
97,003-01,7,MALAVAUD,Fabien,M.,DVD,Divers droite
98,003-01,8,LITAUDON,Roger,M.,LR,Les Républicains
99,003-01,9,MONNET,Yannick,M.,COM,Parti communiste français
100,003-02,1,TRIKI,Samir,M.,DVC,Divers centre
101,003-02,2,KEGELART,Jean-Jacques,M.,LR,Les Républicains
102,003-02,3,AFFRAIX,Christophe,M.,DSV,Droite souverainiste
103,003-02,4,DE NICOLAY,Axelle,Mme,REC,Reconquête !
104,003-02,5,GUILLAUMIN,Jean-Marie,M.,ECO,Ecologistes
105,003-02,6,LEBEL,Bernard,M.,DXG,Divers extrême gauche
106,003-02,7,CHATEL,Philippe,M.,REG,Régionaliste
107,003-02,8,LÉGUILLON,Marie-Claude,Mme,RDG,Parti radical de gauche
108,003-02,9,BOVET,Jorys,M.,RN,Rassemblement National
109,003-02,10,THOMAS,Luc,M.,REG,Régionaliste
110,003-02,11,VANCEUNEBROCK,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle)
111,003-02,12,POZZOLI,Bernard,M.,DVG,Divers gauche
